Location,Date,Temperature,Humidity,Precipitation,Wind Speed,Weather Forecast
Tamil Nadu,1988-05-01,12.8,99,101.3,3.4,Stormy
Kerala,1986-05-01,20.9,64,110.2,9.2,Rainy
Maharashtra,2010-01-01,18.0,53,151.2,5.1,Sunny
Sikkim,1986-10-01,36.6,92,133.4,14.5,Sunny
Rajasthan,2015-05-01,24.0,28,238.1,7.2,Cloudy
Kerala,1995-09-01,20.5,90,166.9,0.9,Cloudy
Haryana,2019-03-01,15.5,60,69.3,4.3,Foggy
Sikkim,1988-12-01,25.6,62,217.7,2.2,Stormy
Sikkim,2021-01-01,16.7,91,278.7,9.4,Sunny
Rajasthan,2015-04-01,33.6,64,203.9,0.7,Rainy
West Bengal,2017-02-01,12.2,24,176.4,10.6,Sunny
Andhra Pradesh,2008-06-01,11.2,84,91.3,1.9,Rainy
Kerala,1986-11-01,24.2,78,38.1,6.8,Cloudy
Punjab,2018-08-01,15.7,56,79.9,6.7,Foggy
Madhya Pradesh,1987-02-01,13.7,39,249.2,5.2,Cloudy
Jharkhand,1997-06-01,12.4,72,227.7,6.8,Rainy
Punjab,2016-01-01,13.2,78,294.4,9.5,Stormy
Chhattisgarh,2013-12-01,24.9,69,194.3,1.4,Sunny
Goa,2018-02-01,35.7,61,97.0,6.5,Foggy
Uttar Pradesh,2007-12-01,18.2,32,8.8,14.6,Foggy
Goa,1993-06-01,23.9,79,38.1,9.5,Cloudy
Jharkhand,2012-03-01,18.7,42,130.2,1.1,Rainy
Sikkim,2000-01-01,10.8,61,102.8,7.7,Cloudy
Meghalaya,2004-08-01,29.7,94,299.8,7.5,Foggy
West Bengal,2024-02-01,34.5,76,135.7,11.1,Cloudy
Nagaland,1991-03-01,29.9,35,125.6,14.6,Stormy
Haryana,2024-01-01,15.4,36,112.0,0.6,Rainy
West Bengal,2001-04-01,27.5,82,47.2,2.7,Sunny
West Bengal,2015-09-01,36.7,98,172.5,2.1,Sunny
Madhya Pradesh,2004-04-01,19.0,71,91.3,1.9,Cloudy
Punjab,1997-02-01,25.3,60,138.1,6.7,Sunny
Nagaland,1993-12-01,24.8,32,199.6,14.3,Sunny
Manipur,2004-06-01,25.7,77,268.4,4.8,Sunny
Kerala,2017-09-01,30.2,58,57.9,7.8,Sunny
Jharkhand,2017-04-01,37.9,21,96.1,8.0,Foggy
Chhattisgarh,2020-04-01,28.0,59,230.4,6.8,Cloudy
Karnataka,2014-09-01,15.9,90,183.9,0.3,Cloudy
Bihar,2007-11-01,24.6,64,292.4,0.5,Cloudy
Haryana,1990-01-01,10.2,78,136.8,14.6,Foggy
Tripura,2023-01-01,26.9,71,225.7,3.9,Foggy
Haryana,2009-10-01,26.0,68,248.3,3.1,Stormy
Nagaland,2001-06-01,13.9,39,229.5,1.1,Stormy
Haryana,2008-11-01,36.7,93,183.9,8.5,Foggy
Andhra Pradesh,2020-10-01,38.1,55,194.0,8.5,Foggy
Uttarakhand,1994-03-01,38.6,97,251.8,5.3,Cloudy
Telangana,2005-11-01,18.7,96,88.8,9.6,Foggy
Bihar,2012-05-01,18.7,69,49.4,13.1,Rainy
Assam,2019-09-01,36.0,79,221.1,6.9,Rainy
Jharkhand,2024-08-01,39.3,44,97.1,5.5,Cloudy
Uttar Pradesh,2017-03-01,27.3,51,172.8,13.1,Foggy
Rajasthan,2007-01-01,34.0,58,122.1,13.3,Rainy
Madhya Pradesh,1985-09-01,28.6,73,287.4,6.1,Foggy
Uttarakhand,1987-05-01,18.5,42,207.4,8.7,Stormy
Himachal Pradesh,1985-05-01,15.1,94,208.9,0.9,Foggy
Assam,2002-09-01,15.1,99,178.3,13.8,Sunny
Punjab,2015-03-01,38.2,97,132.3,4.5,Rainy
Bihar,1987-04-01,31.7,39,240.8,11.4,Cloudy
Arunachal Pradesh,2022-02-01,30.4,28,69.3,13.7,Sunny
Sikkim,1996-10-01,30.6,23,77.7,3.2,Stormy
Assam,2007-08-01,16.8,51,193.1,11.2,Stormy
Uttarakhand,2022-03-01,39.4,38,22.3,11.4,Foggy
Assam,2014-04-01,11.1,90,79.3,8.7,Foggy
Kerala,2006-11-01,16.9,32,118.6,3.9,Rainy
Haryana,1994-04-01,25.4,79,266.3,5.3,Foggy
Meghalaya,1986-01-01,18.3,65,55.7,14.4,Rainy
Madhya Pradesh,2024-12-01,15.3,84,126.5,12.5,Stormy
Kerala,2000-04-01,39.4,22,140.8,7.6,Cloudy
Chhattisgarh,1992-11-01,10.3,80,207.0,13.5,Foggy
Rajasthan,2024-06-01,19.6,88,252.5,10.5,Foggy
Mizoram,2021-06-01,33.5,23,259.5,6.1,Rainy
Jharkhand,1998-07-01,33.0,23,214.0,5.0,Cloudy
Bihar,2007-09-01,36.3,45,54.9,14.7,Sunny
West Bengal,2015-11-01,12.4,48,48.8,7.8,Foggy
Bihar,2008-01-01,25.5,58,237.0,14.6,Foggy
Punjab,1989-12-01,38.6,72,299.5,1.0,Rainy
Madhya Pradesh,2010-12-01,21.6,46,272.3,1.3,Stormy
Madhya Pradesh,2003-03-01,20.8,67,255.2,9.3,Stormy
Punjab,1993-10-01,39.4,85,222.0,14.8,Rainy
Tamil Nadu,1990-08-01,27.9,94,101.6,2.6,Stormy
Assam,2017-06-01,35.9,87,247.2,1.4,Sunny
Jharkhand,2021-03-01,31.4,20,16.1,14.2,Cloudy
Jharkhand,1988-10-01,36.2,27,194.7,9.2,Sunny
Goa,1988-06-01,32.7,54,203.6,11.5,Foggy
Rajasthan,2002-04-01,12.3,64,99.4,10.0,Stormy
Chhattisgarh,2004-11-01,26.9,38,12.3,12.2,Cloudy
Rajasthan,1989-05-01,15.8,35,279.3,13.7,Foggy
Maharashtra,2016-03-01,24.9,78,2.7,11.0,Sunny
Mizoram,1987-12-01,33.7,93,114.9,14.2,Rainy
Manipur,1991-09-01,13.0,95,139.0,8.3,Sunny
Goa,1992-01-01,25.0,42,155.1,14.4,Foggy
Gujarat,1996-02-01,33.7,49,30.6,0.5,Foggy
Bihar,2016-06-01,33.0,65,108.9,3.4,Sunny
Kerala,2007-05-01,11.3,44,107.4,12.1,Foggy
Uttarakhand,2004-04-01,21.3,87,230.7,14.0,Sunny
Haryana,2003-11-01,16.0,25,208.1,2.6,Sunny
Punjab,2003-09-01,31.2,73,11.7,8.1,Foggy
Telangana,1996-03-01,30.2,32,118.6,2.3,Stormy
Maharashtra,1987-12-01,12.9,29,245.9,11.2,Sunny
Punjab,2022-10-01,13.4,40,269.6,7.5,Stormy
Mizoram,2000-07-01,17.1,39,161.0,11.9,Stormy
Mizoram,2004-04-01,21.4,61,123.5,11.7,Rainy
Uttar Pradesh,1994-07-01,28.3,80,88.7,3.0,Rainy
Kerala,2011-04-01,26.9,57,238.7,5.2,Foggy
Nagaland,2007-11-01,11.1,29,143.8,14.6,Sunny
Uttarakhand,2008-09-01,32.6,33,8.9,2.7,Sunny
Kerala,1995-12-01,13.0,23,289.5,8.0,Rainy
Jharkhand,2003-01-01,37.5,44,4.7,14.6,Foggy
Nagaland,2010-06-01,20.5,85,135.1,2.4,Stormy
Andhra Pradesh,2023-12-01,26.9,21,7.6,4.3,Sunny
Gujarat,2016-02-01,28.9,28,223.2,5.2,Stormy
Jharkhand,2024-05-01,31.0,24,3.9,0.5,Cloudy
Bihar,2013-02-01,32.0,71,21.7,13.0,Stormy
Assam,1991-09-01,39.6,85,212.3,4.7,Sunny
Manipur,1987-01-01,34.7,58,283.9,9.4,Sunny
Maharashtra,1985-01-01,34.2,32,291.5,3.6,Cloudy
Arunachal Pradesh,2021-09-01,16.4,24,258.0,0.7,Foggy
Telangana,2006-10-01,13.3,91,141.8,1.9,Rainy
Gujarat,2024-02-01,27.8,56,283.9,6.5,Sunny
Sikkim,1987-05-01,29.8,66,115.3,2.3,Cloudy
Nagaland,2019-03-01,11.4,53,190.9,11.1,Stormy
Punjab,2005-06-01,22.4,97,145.2,3.3,Sunny
Arunachal Pradesh,1996-04-01,26.7,86,145.4,8.1,Cloudy
Himachal Pradesh,2020-12-01,35.0,29,147.8,12.2,Rainy
Himachal Pradesh,1998-02-01,25.3,32,107.0,13.4,Rainy
Uttar Pradesh,2019-10-01,32.2,22,152.1,9.9,Foggy
Assam,1992-10-01,16.5,29,36.3,8.0,Foggy
Arunachal Pradesh,2002-09-01,26.6,20,195.1,2.4,Sunny
Karnataka,1985-06-01,25.4,34,41.0,8.7,Cloudy
Kerala,2024-04-01,35.5,70,25.3,3.7,Stormy
Jharkhand,2023-01-01,25.4,26,13.1,12.2,Foggy
Goa,1998-10-01,19.6,20,118.4,6.0,Cloudy
Punjab,2019-05-01,14.1,53,236.5,14.8,Stormy
Karnataka,2018-08-01,31.7,63,283.1,0.1,Stormy
Mizoram,1988-06-01,33.1,64,91.7,5.3,Stormy
Meghalaya,1987-02-01,11.4,69,275.3,4.7,Stormy
Tamil Nadu,2006-03-01,13.3,71,265.9,10.9,Rainy
Odisha,2013-11-01,24.1,42,234.7,8.2,Rainy
West Bengal,2000-09-01,26.1,25,23.7,11.9,Stormy
Arunachal Pradesh,1999-05-01,11.3,28,229.9,8.1,Rainy
Goa,2013-02-01,18.7,47,147.9,11.2,Foggy
Meghalaya,1990-04-01,33.0,33,116.3,10.0,Cloudy
Chhattisgarh,1988-03-01,12.0,63,9.3,4.9,Sunny
Punjab,2018-01-01,11.1,71,241.3,9.2,Cloudy
Jharkhand,2016-01-01,38.1,74,211.9,0.4,Rainy
Karnataka,2015-11-01,20.8,36,48.7,10.7,Stormy
Chhattisgarh,2017-03-01,34.0,34,92.0,10.0,Foggy
Meghalaya,1998-10-01,15.9,61,293.4,1.7,Sunny
Himachal Pradesh,2007-11-01,29.7,67,6.3,2.0,Foggy
Chhattisgarh,2008-03-01,24.2,59,154.7,12.3,Sunny
Jharkhand,2002-06-01,28.2,21,240.3,10.2,Cloudy
Nagaland,2016-06-01,32.0,46,204.2,11.9,Cloudy
Tamil Nadu,2001-02-01,20.7,42,297.3,10.8,Sunny
Maharashtra,2000-07-01,38.4,26,222.5,4.4,Rainy
Odisha,1998-05-01,29.4,60,11.8,10.5,Sunny
Nagaland,1987-05-01,33.1,32,37.9,4.1,Rainy
Maharashtra,2017-09-01,31.8,88,267.9,4.3,Stormy
Tripura,1986-05-01,25.1,44,266.6,8.2,Foggy
Maharashtra,2021-05-01,10.6,78,282.7,4.1,Foggy
Maharashtra,1990-12-01,32.9,72,118.2,2.6,Sunny
Goa,2017-05-01,12.6,40,210.2,4.3,Sunny
Andhra Pradesh,1991-09-01,14.7,77,233.0,2.1,Rainy
Madhya Pradesh,1988-06-01,32.3,56,30.0,8.1,Sunny
Rajasthan,2001-07-01,10.8,92,202.1,8.0,Sunny
Tamil Nadu,2021-06-01,39.3,34,72.2,13.7,Foggy
Jharkhand,2001-12-01,26.0,86,78.6,2.6,Sunny
Meghalaya,2002-12-01,29.8,31,142.9,3.3,Rainy
Punjab,1998-04-01,12.2,97,82.6,10.6,Sunny
Tamil Nadu,2013-03-01,24.7,26,241.3,14.4,Stormy
Odisha,1986-07-01,24.9,52,120.9,10.0,Rainy
Punjab,2004-06-01,37.1,91,98.2,0.4,Stormy
Himachal Pradesh,1986-08-01,39.3,58,259.9,1.9,Rainy
Uttar Pradesh,2001-02-01,18.9,59,159.9,0.2,Cloudy
Rajasthan,2010-10-01,11.9,28,213.3,7.8,Foggy
Haryana,2011-03-01,33.1,47,105.7,14.4,Cloudy
Chhattisgarh,1989-01-01,33.9,64,201.7,5.8,Foggy
Jharkhand,2022-05-01,12.9,92,72.0,9.6,Cloudy
Chhattisgarh,1997-10-01,20.5,20,237.5,1.1,Stormy
Maharashtra,2008-12-01,22.6,91,194.5,0.9,Foggy
Bihar,2009-07-01,25.6,47,263.0,6.0,Sunny
Arunachal Pradesh,2013-10-01,35.3,71,242.5,6.9,Cloudy
Chhattisgarh,1988-05-01,11.4,65,192.7,10.4,Stormy
Karnataka,2010-11-01,32.1,50,48.0,0.8,Rainy
Odisha,2007-07-01,19.0,86,41.5,9.9,Rainy
Meghalaya,2000-07-01,14.6,95,141.9,2.4,Sunny
Nagaland,2000-06-01,25.7,22,236.1,0.8,Stormy
Sikkim,2015-12-01,34.2,43,42.2,6.1,Stormy
Madhya Pradesh,2010-04-01,22.7,93,202.7,0.8,Rainy
Meghalaya,2006-04-01,25.0,22,122.4,1.3,Cloudy
Odisha,2023-06-01,15.5,87,243.4,14.3,Foggy
Maharashtra,1985-08-01,27.7,100,218.0,13.8,Sunny
Nagaland,1991-05-01,11.8,41,32.6,13.9,Stormy
Manipur,1993-05-01,33.7,26,195.5,11.4,Rainy
Karnataka,2016-07-01,14.7,52,137.9,12.5,Stormy
Tamil Nadu,2010-07-01,24.2,55,164.8,0.2,Stormy
Karnataka,1998-06-01,35.2,49,95.5,10.8,Rainy
Madhya Pradesh,2001-03-01,15.7,47,22.4,13.3,Sunny
Bihar,2009-03-01,35.1,40,233.5,7.2,Sunny
Tamil Nadu,1998-01-01,10.8,43,68.8,5.1,Sunny
Uttar Pradesh,2019-11-01,19.5,78,150.3,10.2,Rainy
Kerala,2004-10-01,18.5,48,34.6,7.6,Cloudy
Bihar,2009-11-01,11.4,74,78.4,7.7,Foggy
Mizoram,2002-10-01,15.0,92,184.0,5.4,Sunny
Punjab,2021-06-01,36.6,35,28.1,13.7,Sunny
Andhra Pradesh,2009-05-01,14.1,84,75.3,11.2,Foggy
Karnataka,2020-10-01,32.2,75,248.3,1.7,Foggy
Andhra Pradesh,2020-05-01,34.4,78,38.3,10.7,Cloudy
Assam,2007-09-01,14.2,69,7.6,8.3,Stormy
Meghalaya,2002-04-01,24.0,82,174.1,14.3,Cloudy
Punjab,2019-06-01,21.5,98,185.6,7.8,Foggy
Punjab,1987-02-01,11.0,78,104.1,1.2,Stormy
Uttarakhand,1992-07-01,36.0,60,213.0,8.8,Rainy
Maharashtra,2000-03-01,38.7,54,32.6,14.0,Cloudy
Gujarat,2000-06-01,12.8,63,153.2,14.0,Cloudy
Goa,2021-05-01,30.9,94,41.0,7.7,Foggy
Uttar Pradesh,2006-11-01,20.5,65,153.7,5.0,Sunny
Rajasthan,2013-06-01,12.8,90,299.1,12.0,Stormy
Madhya Pradesh,2002-10-01,23.5,64,215.4,11.0,Rainy
Karnataka,1996-04-01,37.1,65,295.2,10.3,Foggy
Sikkim,2002-12-01,19.8,31,280.2,2.5,Foggy
West Bengal,2000-06-01,15.6,82,284.5,12.6,Cloudy
Punjab,1990-07-01,35.2,59,199.7,9.7,Foggy
Haryana,2019-12-01,33.2,73,178.0,1.3,Cloudy
Jharkhand,2012-01-01,27.7,37,99.4,7.4,Foggy
Haryana,1992-03-01,11.9,51,60.6,10.0,Stormy
Mizoram,1997-01-01,26.7,72,281.4,8.7,Stormy
Gujarat,2015-02-01,15.7,52,13.1,4.3,Sunny
Rajasthan,1999-05-01,11.2,25,134.4,2.1,Stormy
Himachal Pradesh,2016-06-01,25.4,76,22.0,4.9,Stormy
Mizoram,1992-03-01,36.9,67,93.0,3.7,Rainy
West Bengal,2004-04-01,36.9,88,35.9,6.5,Cloudy
Tamil Nadu,2008-10-01,14.1,52,140.3,0.4,Cloudy
Gujarat,2004-03-01,23.6,59,160.9,12.7,Foggy
Assam,2005-07-01,15.3,21,116.2,14.0,Rainy
Jharkhand,1989-12-01,32.5,82,256.2,14.9,Sunny
Gujarat,2014-07-01,30.5,28,115.1,0.9,Foggy
Tamil Nadu,2017-03-01,10.2,61,61.6,4.6,Cloudy
Haryana,2000-07-01,34.3,47,170.4,14.5,Rainy
Meghalaya,1992-02-01,11.3,43,48.0,10.8,Sunny
Gujarat,1990-09-01,21.5,25,55.0,8.0,Foggy
Jharkhand,2020-02-01,23.8,51,68.7,4.7,Cloudy
Madhya Pradesh,2017-05-01,27.9,64,236.0,14.1,Stormy
Meghalaya,2019-01-01,28.6,33,286.4,12.4,Foggy
Jharkhand,2011-08-01,19.7,59,110.6,10.5,Rainy
Manipur,2013-03-01,29.4,24,118.5,15.0,Stormy
West Bengal,2015-12-01,38.2,74,245.0,9.5,Cloudy
Punjab,2022-05-01,15.5,37,216.7,11.4,Rainy
Himachal Pradesh,2021-03-01,13.7,85,253.0,4.3,Foggy
Arunachal Pradesh,1991-04-01,11.0,37,200.7,13.1,Cloudy
Arunachal Pradesh,2011-04-01,29.1,97,189.2,0.6,Foggy
Telangana,1999-10-01,26.4,61,187.5,10.3,Sunny
Uttar Pradesh,2011-02-01,22.8,25,192.2,14.3,Cloudy
Goa,2015-09-01,10.3,93,153.2,9.5,Sunny
Nagaland,2002-04-01,33.8,81,163.9,13.1,Rainy
Andhra Pradesh,1985-01-01,25.9,96,271.4,5.7,Sunny
Madhya Pradesh,2011-07-01,19.7,68,12.1,10.8,Foggy
Goa,1988-03-01,18.8,55,99.5,0.0,Cloudy
Kerala,2018-09-01,21.3,55,37.1,9.3,Stormy
Meghalaya,2011-01-01,17.2,79,247.5,1.3,Cloudy
Andhra Pradesh,2009-11-01,39.1,29,132.1,9.1,Foggy
Karnataka,1998-04-01,35.0,68,7.2,6.5,Stormy
Andhra Pradesh,1996-02-01,14.4,41,21.7,3.5,Foggy
Tripura,2020-09-01,11.3,84,90.9,4.2,Stormy
Jharkhand,2009-06-01,18.1,44,288.5,13.9,Rainy
Jharkhand,2009-08-01,10.3,74,185.2,5.7,Foggy
Arunachal Pradesh,1999-06-01,16.6,57,31.2,5.3,Stormy
Arunachal Pradesh,1990-10-01,23.5,80,273.1,1.0,Foggy
Manipur,2002-02-01,34.4,35,20.0,13.4,Sunny
Nagaland,2015-04-01,11.1,58,280.2,3.0,Stormy
Kerala,2023-07-01,17.0,37,32.9,4.8,Stormy
Goa,2016-10-01,26.2,74,173.4,9.7,Stormy
Manipur,1999-04-01,36.2,54,276.7,5.2,Rainy
Manipur,2006-06-01,18.1,80,153.6,4.9,Cloudy
Meghalaya,1986-03-01,28.5,31,18.6,2.5,Foggy
Bihar,2024-04-01,35.2,31,114.2,6.7,Cloudy
Uttarakhand,2012-09-01,24.0,97,285.9,11.5,Sunny
Mizoram,2009-03-01,27.0,49,232.7,14.5,Rainy
Assam,2016-04-01,18.2,50,169.0,13.4,Foggy
Tamil Nadu,2011-04-01,34.3,49,43.8,0.8,Stormy
Karnataka,1995-07-01,14.0,95,201.0,10.9,Stormy
Mizoram,1998-07-01,23.7,70,216.8,6.3,Rainy
Gujarat,1994-12-01,18.9,67,135.4,9.0,Sunny
Gujarat,2024-01-01,16.0,36,292.7,11.8,Foggy
Nagaland,1988-11-01,27.2,23,230.1,8.6,Stormy
Karnataka,1993-01-01,20.3,23,103.7,1.9,Rainy
Mizoram,2010-07-01,34.6,72,126.2,1.3,Rainy
Rajasthan,1985-06-01,20.3,71,53.6,1.3,Sunny
Himachal Pradesh,1998-06-01,17.0,60,97.2,4.6,Foggy
Kerala,1995-10-01,24.8,32,12.5,13.0,Rainy
Himachal Pradesh,1993-08-01,39.9,35,12.9,2.5,Rainy
Arunachal Pradesh,2020-12-01,37.4,82,271.6,4.8,Sunny
Uttar Pradesh,1995-07-01,11.4,28,198.2,0.8,Rainy
Assam,2010-09-01,30.2,77,182.4,12.5,Rainy
Chhattisgarh,2004-05-01,29.4,100,55.5,0.8,Cloudy
Haryana,2009-03-01,22.0,31,47.8,3.2,Foggy
Karnataka,1991-09-01,15.5,36,140.9,4.5,Sunny
Punjab,2004-05-01,30.4,86,293.7,0.7,Sunny
Kerala,1998-10-01,34.0,63,148.2,3.5,Cloudy
Bihar,2003-06-01,28.4,71,139.0,2.6,Cloudy
Punjab,1997-04-01,25.7,100,292.6,0.2,Sunny
Assam,2024-11-01,38.3,79,235.1,14.1,Cloudy
Maharashtra,2019-05-01,38.8,82,45.0,4.7,Foggy
Maharashtra,2001-01-01,26.5,50,271.8,0.4,Cloudy
Meghalaya,2011-05-01,24.1,38,191.5,8.4,Rainy
Arunachal Pradesh,1992-03-01,21.3,42,122.9,1.5,Sunny
Nagaland,2008-02-01,16.4,43,66.4,9.0,Sunny
Andhra Pradesh,2005-03-01,15.0,54,165.1,13.1,Rainy
Mizoram,2007-02-01,20.0,21,262.2,13.6,Foggy
Andhra Pradesh,2020-04-01,23.0,72,174.6,9.8,Foggy
Uttar Pradesh,1987-11-01,37.6,69,193.4,0.7,Stormy
Tripura,1986-06-01,34.1,74,241.7,11.0,Cloudy
Mizoram,2008-09-01,14.9,75,221.6,12.6,Cloudy
Sikkim,1999-08-01,19.5,72,229.8,10.6,Stormy
Assam,1992-02-01,12.0,33,40.4,1.9,Rainy
Goa,1999-10-01,39.3,46,188.4,1.5,Foggy
Telangana,1993-05-01,14.1,97,20.5,2.8,Sunny
Himachal Pradesh,1987-02-01,20.0,58,150.7,5.6,Sunny
Meghalaya,1987-03-01,31.3,39,53.2,1.7,Sunny
Tripura,2009-05-01,16.2,54,12.0,12.2,Foggy
Jharkhand,1990-10-01,39.1,96,196.1,8.6,Sunny
Telangana,1996-06-01,14.6,37,219.9,0.7,Sunny
Rajasthan,1995-02-01,23.0,61,112.3,2.3,Stormy
Uttarakhand,2023-08-01,15.5,65,150.9,13.9,Foggy
West Bengal,2006-06-01,15.6,77,263.3,7.0,Stormy
Gujarat,1998-04-01,20.9,36,89.1,14.9,Rainy
Karnataka,1996-03-01,21.1,79,169.5,1.1,Cloudy
Manipur,1993-07-01,33.1,84,131.5,5.1,Rainy
Nagaland,1997-02-01,33.7,40,163.0,7.2,Sunny
Telangana,1991-05-01,33.3,41,51.3,8.9,Cloudy
Odisha,2005-12-01,36.7,32,272.1,4.3,Cloudy
Punjab,1999-10-01,17.4,50,195.2,5.8,Sunny
Himachal Pradesh,2007-08-01,38.0,89,86.8,12.6,Stormy
Himachal Pradesh,2017-07-01,17.7,27,295.6,5.8,Stormy
Punjab,1998-02-01,17.7,37,122.7,9.3,Foggy
Andhra Pradesh,2007-01-01,28.6,36,229.6,8.9,Stormy
Meghalaya,2016-12-01,31.8,67,132.9,13.5,Cloudy
Uttar Pradesh,2021-07-01,37.4,100,45.4,10.8,Stormy
Punjab,2002-06-01,29.7,44,285.3,9.7,Sunny
Chhattisgarh,1996-07-01,25.2,52,204.7,2.5,Foggy
Madhya Pradesh,1996-10-01,34.4,56,141.8,10.7,Sunny
Andhra Pradesh,2005-01-01,27.5,68,71.0,12.7,Sunny
Tripura,2010-07-01,10.2,77,299.5,12.0,Cloudy
Jharkhand,1994-11-01,29.0,43,116.4,14.0,Foggy
Chhattisgarh,1998-01-01,24.1,52,232.1,6.8,Rainy
Haryana,2007-08-01,33.3,38,87.0,6.5,Sunny
Himachal Pradesh,1987-08-01,15.0,51,126.0,4.8,Foggy
Odisha,1985-06-01,13.1,32,178.5,2.6,Stormy
Goa,2022-05-01,12.6,92,10.7,3.1,Foggy
Tripura,2002-04-01,35.3,82,159.3,4.9,Foggy
Punjab,2008-12-01,14.9,88,161.8,9.9,Sunny
Uttar Pradesh,1988-06-01,27.3,76,83.8,2.1,Sunny
Arunachal Pradesh,2016-01-01,27.4,85,199.2,4.9,Foggy
Jharkhand,2004-05-01,28.4,65,283.3,7.6,Sunny
Gujarat,1998-05-01,29.1,26,215.3,8.7,Sunny
Kerala,2001-06-01,21.5,92,79.6,11.1,Stormy
Andhra Pradesh,2017-11-01,35.1,56,201.3,13.8,Sunny
Telangana,1985-12-01,38.4,84,29.7,9.9,Stormy
Mizoram,1987-05-01,12.1,62,290.9,13.4,Stormy
Arunachal Pradesh,2005-07-01,22.5,80,194.9,13.6,Sunny
Andhra Pradesh,2015-03-01,35.6,22,230.9,10.2,Rainy
Jharkhand,1992-06-01,13.6,44,132.0,6.2,Cloudy
Nagaland,2014-08-01,32.3,94,177.0,4.7,Stormy
Nagaland,2022-07-01,25.8,47,56.9,1.6,Rainy
Punjab,2000-12-01,10.1,99,81.0,10.5,Stormy
Chhattisgarh,2020-10-01,13.8,31,107.4,5.2,Rainy
Punjab,2006-11-01,33.8,34,154.0,11.0,Stormy
Mizoram,2024-12-01,31.9,36,193.2,4.4,Rainy
West Bengal,2004-02-01,25.8,71,271.6,6.4,Sunny
Gujarat,1986-08-01,35.2,83,74.2,7.3,Stormy
Rajasthan,2005-07-01,17.9,89,136.4,11.4,Rainy
Bihar,1996-05-01,31.9,47,292.0,4.9,Sunny
Odisha,1994-07-01,20.4,76,144.3,14.3,Cloudy
Haryana,1998-03-01,15.4,65,132.3,6.9,Foggy
Nagaland,1989-08-01,13.3,60,250.6,8.4,Stormy
Meghalaya,1994-07-01,15.6,59,223.6,6.3,Cloudy
Tamil Nadu,1999-07-01,23.1,61,224.7,5.3,Foggy
Bihar,2007-07-01,29.1,56,142.9,4.7,Sunny
Bihar,1991-02-01,39.2,26,175.2,10.3,Cloudy
Tripura,2023-09-01,12.3,62,61.5,0.2,Sunny
Meghalaya,2024-07-01,19.4,56,288.4,11.5,Stormy
West Bengal,2010-06-01,36.4,86,157.8,12.3,Foggy
Tripura,1987-04-01,12.6,22,92.8,3.2,Cloudy
Meghalaya,2010-12-01,29.5,67,204.5,14.9,Stormy
Jharkhand,2015-03-01,24.2,68,35.7,3.4,Sunny
Uttarakhand,2002-01-01,15.4,56,139.4,13.8,Foggy
West Bengal,1993-06-01,28.8,98,124.4,14.3,Sunny
Manipur,2021-09-01,24.6,98,116.1,3.0,Foggy
Tripura,1998-01-01,34.0,67,239.3,14.6,Rainy
Haryana,2023-07-01,35.6,96,161.8,10.2,Foggy
West Bengal,1999-05-01,22.3,62,181.8,4.1,Rainy
Odisha,1988-10-01,34.6,92,118.5,0.4,Stormy
Assam,2002-06-01,38.7,80,200.6,7.6,Foggy
Bihar,2005-08-01,26.5,67,25.9,11.6,Stormy
Chhattisgarh,2008-04-01,18.5,81,285.3,12.1,Cloudy
Sikkim,1989-12-01,10.9,83,212.2,12.2,Sunny
Goa,2000-04-01,10.6,78,274.0,10.9,Stormy
Arunachal Pradesh,2021-02-01,14.4,42,184.4,0.0,Rainy
Jharkhand,1998-10-01,11.1,30,298.2,7.7,Sunny
Andhra Pradesh,1995-12-01,27.1,70,70.2,11.3,Sunny
Haryana,1992-05-01,38.9,80,216.4,10.6,Foggy
Chhattisgarh,2000-08-01,27.7,88,203.4,6.7,Cloudy
Manipur,2002-09-01,16.3,64,177.7,11.0,Sunny
Kerala,2013-12-01,38.9,52,282.1,8.0,Foggy
Punjab,1986-02-01,16.3,76,256.0,2.7,Cloudy
Andhra Pradesh,1987-09-01,18.2,89,212.6,14.3,Cloudy
Gujarat,2017-05-01,11.1,29,271.6,12.8,Rainy
Bihar,1994-06-01,15.1,40,51.0,7.4,Cloudy
Mizoram,1994-10-01,39.3,77,220.5,2.5,Rainy
Meghalaya,2003-08-01,17.7,31,67.3,3.6,Rainy
Jharkhand,1991-09-01,30.1,82,210.6,7.5,Cloudy
Meghalaya,2016-02-01,31.3,56,263.6,0.5,Stormy
Arunachal Pradesh,2020-10-01,23.5,37,190.1,14.8,Sunny
Chhattisgarh,1987-06-01,15.4,37,46.8,1.7,Sunny
Tamil Nadu,1991-12-01,11.2,30,191.4,6.0,Cloudy
Uttarakhand,1999-08-01,39.8,41,132.9,12.4,Sunny
Madhya Pradesh,1997-01-01,35.2,25,193.2,9.9,Sunny
Telangana,2021-11-01,36.5,24,206.3,3.3,Rainy
Uttar Pradesh,2007-07-01,20.8,37,79.4,9.7,Cloudy
Odisha,2014-07-01,29.0,40,6.4,6.2,Cloudy
Jharkhand,2023-05-01,15.9,66,143.2,7.7,Rainy
Odisha,1999-01-01,30.3,59,33.3,0.4,Sunny
Meghalaya,2022-10-01,22.6,80,76.6,7.2,Stormy
Bihar,2011-06-01,28.4,42,207.7,4.8,Cloudy
Karnataka,1987-09-01,38.6,30,287.7,1.1,Foggy
